t,3 mm,t,5 mm,t,8 mm,t,15 mm
3.15E-07,1.03227,4.04E-07,1.03464,,,6.72E-07,0.84287
3.16E-07,1.03479,4.05E-07,1.03617,,,6.73E-07,0.84648
3.16E-07,1.03479,4.05E-07,1.03618,,,6.74E-07,0.85007
3.16E-07,1.03478,4.05E-07,1.03617,,,6.75E-07,0.85364
3.16E-07,1.03478,4.05E-07,1.03618,,,6.76E-07,0.8572
3.16E-07,1.03479,4.06E-07,1.03759,,,6.77E-07,0.86074
3.16E-07,1.03479,4.06E-07,1.03759,,,6.78E-07,0.86426
3.17E-07,1.03707,4.06E-07,1.03759,,,6.79E-07,0.86776
3.17E-07,1.03708,4.06E-07,1.03759,,,6.80E-07,0.87123
3.17E-07,1.03707,4.07E-07,1.03894,,,6.81E-07,0.87468
3.17E-07,1.03707,4.07E-07,1.03895,,,6.82E-07,0.8781
3.17E-07,1.03707,4.07E-07,1.03894,,,6.83E-07,0.88148
3.17E-07,1.03708,4.07E-07,1.03895,,,6.84E-07,0.88483
3.18E-07,1.03916,4.08E-07,1.04022,,,6.85E-07,0.88812
3.18E-07,1.03916,4.08E-07,1.04022,,,6.86E-07,0.89136
3.18E-07,1.03915,4.08E-07,1.04022,,,6.87E-07,0.89453
3.18E-07,1.03915,4.08E-07,1.04022,,,6.88E-07,0.89761
3.18E-07,1.03916,4.09E-07,1.0414,,,6.89E-07,0.90051
3.18E-07,1.03916,4.09E-07,1.0414,,,6.90E-07,0.90335
3.19E-07,1.04104,4.09E-07,1.0414,,,6.91E-07,0.9061
3.19E-07,1.04104,4.09E-07,1.0414,,,6.92E-07,0.90875
3.19E-07,1.04103,4.10E-07,1.04252,,,6.93E-07,0.91128
3.19E-07,1.04103,4.10E-07,1.04252,,,6.94E-07,0.91378
3.19E-07,1.04104,4.10E-07,1.04252,,,6.95E-07,0.91622
3.19E-07,1.04104,4.10E-07,1.04252,,,6.96E-07,0.91864
3.20E-07,1.04273,4.11E-07,1.04355,,,6.97E-07,0.92095
3.20E-07,1.04274,4.11E-07,1.04356,,,6.98E-07,0.92321
3.20E-07,1.04273,4.11E-07,1.04355,,,6.99E-07,0.92545
3.20E-07,1.04273,4.11E-07,1.04356,,,7.00E-07,0.92762
3.20E-07,1.04273,4.12E-07,1.04454,,,7.01E-07,0.92979
3.20E-07,1.04274,4.12E-07,1.04454,,,7.02E-07,0.93188
3.21E-07,1.04426,4.12E-07,1.04454,,,7.03E-07,0.93392
3.21E-07,1.04426,4.12E-07,1.04454,,,7.04E-07,0.9359
3.21E-07,1.04426,4.13E-07,1.04545,,,7.05E-07,0.93787
3.21E-07,1.04426,4.13E-07,1.04546,,,7.06E-07,0.93978
3.21E-07,1.04426,4.13E-07,1.04545,,,7.07E-07,0.94167
3.21E-07,1.04426,4.13E-07,1.04546,,,7.08E-07,0.94353
3.22E-07,1.04563,4.14E-07,1.0463,,,7.09E-07,0.94536
3.22E-07,1.04564,4.14E-07,1.0463,,,7.10E-07,0.94713
3.22E-07,1.04563,4.14E-07,1.0463,,,7.11E-07,0.94887
3.22E-07,1.04563,4.14E-07,1.0463,,,7.12E-07,0.95055
3.22E-07,1.04563,4.15E-07,1.04711,,,7.13E-07,0.95226
3.22E-07,1.04564,4.15E-07,1.04711,,,7.14E-07,0.95388
3.23E-07,1.04689,4.15E-07,1.04711,,,7.15E-07,0.9555
3.23E-07,1.04689,4.15E-07,1.04711,,,7.16E-07,0.95707
3.23E-07,1.04689,4.16E-07,1.04784,,,7.17E-07,0.95865
3.23E-07,1.04689,4.16E-07,1.04785,,,7.18E-07,0.96018
3.23E-07,1.04689,4.16E-07,1.04784,,,7.19E-07,0.96165
3.23E-07,1.04689,4.16E-07,1.04785,,,7.20E-07,0.96313
3.24E-07,1.04799,4.17E-07,1.04853,,,7.21E-07,0.96459
3.24E-07,1.04799,4.17E-07,1.04854,,,7.22E-07,0.96599
3.24E-07,1.04799,4.17E-07,1.04853,,,7.23E-07,0.96737
3.24E-07,1.04799,4.17E-07,1.04854,,,7.24E-07,0.96874
3.24E-07,1.04799,4.18E-07,1.04916,,,7.25E-07,0.97009
3.24E-07,1.04799,4.18E-07,1.04916,,,7.26E-07,0.9714
3.25E-07,1.049,4.18E-07,1.04916,,,7.27E-07,0.97269
3.25E-07,1.049,4.18E-07,1.04916,,,7.28E-07,0.97395
3.25E-07,1.04899,4.19E-07,1.04975,,,7.29E-07,0.97519
3.25E-07,1.04899,4.19E-07,1.04975,,,7.30E-07,0.97639
3.25E-07,1.04899,4.19E-07,1.04975,,,7.31E-07,0.9776
3.25E-07,1.049,4.19E-07,1.04975,,,7.32E-07,0.97876
3.26E-07,1.04989,4.20E-07,1.05029,,,7.33E-07,0.97991
3.26E-07,1.04989,4.20E-07,1.05029,,,7.34E-07,0.98105
3.26E-07,1.04988,4.20E-07,1.05029,,,7.35E-07,0.98214
3.26E-07,1.04988,4.20E-07,1.05029,,,7.36E-07,0.98324
3.26E-07,1.04989,4.21E-07,1.05078,,,7.37E-07,0.98432
3.26E-07,1.04989,4.21E-07,1.05078,,,7.38E-07,0.98535
3.27E-07,1.05066,4.21E-07,1.05078,,,7.39E-07,0.98638
3.27E-07,1.05066,4.21E-07,1.05078,,,7.40E-07,0.9874
3.27E-07,1.05065,4.22E-07,1.05124,,,7.41E-07,0.98839
3.27E-07,1.05065,4.22E-07,1.05125,,,7.42E-07,0.98934
3.27E-07,1.05066,4.22E-07,1.05124,,,7.43E-07,0.9903
3.27E-07,1.05066,4.22E-07,1.05125,,,7.44E-07,0.99123
3.28E-07,1.05136,4.23E-07,1.05165,,,7.45E-07,0.99214
3.28E-07,1.05136,4.23E-07,1.05165,,,7.46E-07,0.99303
3.28E-07,1.05136,4.23E-07,1.05165,,,7.47E-07,0.99391
3.28E-07,1.05136,4.23E-07,1.05165,,,7.48E-07,0.99478
3.28E-07,1.05136,4.24E-07,1.05202,,,7.49E-07,0.99563
3.28E-07,1.05136,4.24E-07,1.05202,,,7.50E-07,0.99646
3.29E-07,1.05196,4.24E-07,1.05202,,,7.51E-07,0.99728
3.29E-07,1.05196,4.24E-07,1.05202,,,7.52E-07,0.99808
3.29E-07,1.05196,4.25E-07,1.05235,,,7.53E-07,0.99886
3.29E-07,1.05196,4.25E-07,1.05235,,,7.54E-07,0.99962
3.29E-07,1.05196,4.25E-07,1.05235,,,7.55E-07,1.00038
3.29E-07,1.05196,4.25E-07,1.05235,,,7.56E-07,1.00111
3.30E-07,1.05249,4.26E-07,1.05265,,,7.57E-07,1.00184
3.30E-07,1.05249,4.26E-07,1.05265,,,7.58E-07,1.00254
3.30E-07,1.05249,4.26E-07,1.05265,,,7.59E-07,1.00323
3.30E-07,1.05249,4.26E-07,1.05265,,,7.60E-07,1.00392
3.30E-07,1.05249,4.27E-07,1.05289,,,7.61E-07,1.00457
3.30E-07,1.05249,4.27E-07,1.0529,,,7.62E-07,1.00522
3.31E-07,1.05294,4.27E-07,1.05289,,,7.63E-07,1.00586
3.31E-07,1.05294,4.27E-07,1.0529,,,7.64E-07,1.0065
3.31E-07,1.05294,4.28E-07,1.0531,,,7.65E-07,1.00709
3.31E-07,1.05294,4.28E-07,1.0531,,,7.66E-07,1.0077
3.31E-07,1.05294,4.28E-07,1.0531,,,7.67E-07,1.00828
3.31E-07,1.05294,4.28E-07,1.0531,,,7.68E-07,1.00886
3.32E-07,1.05332,4.29E-07,1.05326,,,7.69E-07,1.00941
3.32E-07,1.05333,4.29E-07,1.05327,,,7.70E-07,1.00997
3.32E-07,1.05332,4.29E-07,1.05326,,,7.71E-07,1.01051
3.32E-07,1.05332,4.29E-07,1.05327,,,7.72E-07,1.01103
3.32E-07,1.05332,4.30E-07,1.05336,,,7.73E-07,1.01154
3.32E-07,1.05333,4.30E-07,1.05336,,,7.74E-07,1.01204
3.33E-07,1.05365,4.30E-07,1.05336,,,7.75E-07,1.01255
3.33E-07,1.05365,4.30E-07,1.05336,,,7.76E-07,1.01303
3.33E-07,1.05365,4.31E-07,1.05337,,,7.77E-07,1.0135
3.33E-07,1.05365,4.31E-07,1.05337,,,7.78E-07,1.01396
3.33E-07,1.05365,4.31E-07,1.05337,,,7.79E-07,1.01441
3.33E-07,1.05365,4.32E-07,1.05304,,,7.80E-07,1.01484
3.34E-07,1.05391,4.32E-07,1.05304,,,7.81E-07,1.01527
3.34E-07,1.05392,4.32E-07,1.05304,,,7.82E-07,1.01569
3.34E-07,1.05391,4.33E-07,1.02823,,,7.83E-07,1.0161
3.34E-07,1.05391,4.33E-07,1.02822,,,7.84E-07,1.01649
3.34E-07,1.05391,4.33E-07,1.02823,,,7.85E-07,1.01688
3.34E-07,1.05392,4.33E-07,1.02822,,,7.86E-07,1.01727
3.35E-07,1.05412,,,,,7.87E-07,1.01764
3.35E-07,1.05412,,,,,7.88E-07,1.018
3.35E-07,1.05412,,,,,7.89E-07,1.01835
3.35E-07,1.05412,,,,,7.90E-07,1.0187
3.35E-07,1.05412,,,,,7.91E-07,1.01904
3.35E-07,1.05412,,,,,7.92E-07,1.01936
3.36E-07,1.05427,,,,,7.93E-07,1.01968
3.36E-07,1.05427,,,,,7.94E-07,1.01999
3.36E-07,1.05427,,,,,7.95E-07,1.02029
3.36E-07,1.05427,,,,,7.96E-07,1.02058
3.36E-07,1.05427,,,,,7.97E-07,1.02087
3.36E-07,1.05427,,,,,7.98E-07,1.02115
3.37E-07,1.05436,,,,,7.99E-07,1.02142
3.37E-07,1.05436,,,,,8.00E-07,1.02169
3.37E-07,1.05436,,,,,8.01E-07,1.02194
3.37E-07,1.05436,,,,,8.02E-07,1.02219
3.37E-07,1.05436,,,,,8.03E-07,1.02243
3.37E-07,1.05436,,,,,8.04E-07,1.02266
3.38E-07,1.05439,,,,,8.05E-07,1.02289
3.38E-07,1.05439,,,,,8.06E-07,1.02311
3.38E-07,1.05438,,,,,8.07E-07,1.02332
3.38E-07,1.05438,,,,,8.08E-07,1.02353
3.38E-07,1.05439,,,,,8.09E-07,1.02372
3.38E-07,1.05439,,,,,8.10E-07,1.02391
3.39E-07,1.05433,,,,,8.11E-07,1.0241
3.39E-07,1.05433,,,,,8.12E-07,1.02428
3.39E-07,1.05433,,,,,8.13E-07,1.02445
3.39E-07,1.05433,,,,,8.14E-07,1.02462
3.39E-07,1.05433,,,,,8.15E-07,1.02478
3.39E-07,1.05433,,,,,8.16E-07,1.02493
3.40E-07,1.05413,,,,,8.17E-07,1.02508
3.40E-07,1.05413,,,,,8.18E-07,1.02522
3.40E-07,1.05413,,,,,8.19E-07,1.02536
3.40E-07,1.05413,,,,,8.20E-07,1.02549
3.40E-07,1.05413,,,,,8.21E-07,1.02561
3.40E-07,1.05413,,,,,8.22E-07,1.02572
3.41E-07,1.0414,,,,,8.23E-07,1.02584
3.41E-07,1.04139,,,,,8.24E-07,1.02594
3.41E-07,1.0414,,,,,8.25E-07,1.02604
3.41E-07,1.0414,,,,,8.26E-07,1.02613
3.41E-07,1.0414,,,,,8.27E-07,1.02621
3.41E-07,1.0414,,,,,8.28E-07,1.02629
,,,,,,8.29E-07,1.02636
,,,,,,8.30E-07,1.02642
,,,,,,8.31E-07,1.02647
,,,,,,8.32E-07,1.02652
,,,,,,8.33E-07,1.02655
,,,,,,8.34E-07,1.02657
,,,,,,8.35E-07,1.02657
,,,,,,8.36E-07,1.02654
,,,,,,8.37E-07,1.02646
,,,,,,8.38E-07,1.0262
,,,,,,8.39E-07,1.01848
,,,,,,8.39E-07,1.01848
,,,,,,8.40E-07,1.00991
,,,,,,8.40E-07,1.00991
